air,water
4.43E-05,4.22E-05
9.56E-05,8.53E-05
1.38E-04,1.07E-04
1.80E-04,1.16E-04
2.33E-04,1.14E-04
3.48E-04,1.20E-04
4.66E-04,1.27E-04
5.81E-04,1.24E-04
6.95E-04,1.26E-04
8.16E-04,1.24E-04
9.31E-04,1.26E-04
1.05E-03,1.26E-04
1.16E-03,1.24E-04
1.29E-03,1.22E-04
1.40E-03,1.24E-04
1.52E-03,1.25E-04
