x, y
0.8944099901616638, 0
1.788819980323326, 167.91051479191975
2.807453907519636, 285.4472305193794
3.9503100885450277, 358.2089212663627
4.968944015741338, 386.19407026373017
6.161490108221702, 386.19407026373017
7.329192086577362, 380.5968129488856
8.645962116092372, 363.8054201966378
9.863354005903004, 358.2089212663627
11.304347972452657, 369.40305670376637
12.546583976387993, 380.5968129488856
13.714285954743652, 391.79094838629
14.931676161348722, 397.3882057011338
15.950311771750597, 391.79094838629
